SourceID,Hop1_ID,Hop2_ID
0,0,680
0,80,40
0,80,207
0,99,1914
0,133,866
0,247,138
0,313,1236
0,315,1042
0,399,1919
0,458,500
0,507,1967
0,524,1328
0,551,1254
0,585,1625
0,618,1111
0,621,911
0,621,1555
0,622,587
0,630,579
0,704,67
0,769,300
0,777,230
0,800,1734
0,808,925
0,830,1986
0,851,158
0,855,804
0,978,633
0,985,603
0,990,1318
0,1048,759
0,1075,1003
0,1205,1504
0,1220,875
0,1249,221
0,1338,1183
0,1357,1407
0,1386,101
0,1398,622
0,1407,986
0,1432,1985
0,1454,1176
0,1541,1345
0,1561,765
0,1643,1991
0,1650,1306
0,1731,1807
0,1771,1831
0,1828,1537
0,1869,349
0,1947,1005
0,1968,1737
0,1998,322
1,70,1591
1,87,1627
1,104,1385
1,127,1682
1,200,467
1,231,413
1,270,1880
1,315,793
1,457,906
1,473,1080
1,474,1827
1,480,302
1,733,1071
1,879,1361
1,926,1344
1,942,1311
1,1004,695
1,1064,324
1,1069,738
1,1139,1796
1,1146,597
1,1156,1087
1,1183,1379
1,1226,663
1,1348,302
1,1369,286
1,1375,165
1,1397,839
1,1433,190
1,1438,1608
1,1477,54
1,1492,1750
1,1496,583
1,1496,1418
1,1518,1656
1,1522,1767
1,1528,353
1,1591,1306
1,1609,373
1,1628,1579
1,1639,232
1,1737,1943
1,1775,1923
1,1792,1786
1,1829,1625
1,1852,613
2,15,1667
2,28,785
2,131,1160
2,206,1018
2,222,723
2,234,830
2,260,350
2,273,8
2,287,861
2,316,509
2,350,1312
2,418,138
2,424,1027
2,439,997
2,447,1900
2,453,1506
2,477,1245
2,588,744
2,613,1251
2,633,776
2,705,709
2,865,1491
2,940,348
2,979,1161
2,991,276
2,1000,1788
2,1002,903
2,1178,1945
2,1322,1320
2,1328,711
2,1329,104
2,1346,1780
2,1396,1143
2,1402,641
2,1414,859
2,1554,1346
2,1597,1234
2,1698,28
2,1794,1918
2,1806,258
2,1907,1284
2,1968,417
3,12,1307
3,79,1390
3,116,112
3,129,435
3,134,24
3,214,894
3,242,49
3,290,244
3,329,1261
3,330,16
3,409,1924
3,581,536
3,607,202
3,620,83
3,643,1342
3,654,1611
3,678,608
3,701,1317
3,738,877
3,852,1058
3,877,275
3,1047,639
3,1127,215
3,1139,362
3,1151,1239
3,1284,1136
3,1315,1797
3,1331,90
3,1387,1978
3,1393,1374
3,1408,1075
