SourceID,Hop1_ID,Hop2_ID,Offset
0,313,1236,0
0,621,911,1
0,622,587,2
0,777,230,3
0,1998,322,4
1,1226,663,5
1,1348,302,6
1,1829,1625,7
2,234,830,8
2,1000,1788,9
2,1328,711,10
2,1346,1780,11
2,1554,1346,12
3,242,49,13
3,1331,90,14
3,1973,1083,15
4,1511,1292,16
4,1764,1910,17
5,90,1758,18
5,315,537,19
5,836,922,20
5,1334,430,21
5,1355,535,22
5,1604,474,23
6,136,386,24
6,670,729,25
6,787,1954,26
6,887,949,27
6,935,1782,28
7,683,1579,29
7,1169,727,30
7,1308,456,31
8,1086,469,32
9,641,504,33
9,925,560,34
9,1142,482,35
9,1867,945,36
10,519,1033,37
10,881,721,38
10,1136,915,39
10,1172,1221,40
10,1395,1071,41
10,1625,1080,42
10,1913,1409,43
10,1931,631,44
10,1975,1127,45
11,793,1588,46
11,808,238,47
11,1200,635,48
11,1245,1807,49
12,780,7,50
12,1260,942,51
13,344,1671,52
13,501,1806,53
13,615,454,54
13,1943,810,55
14,401,1681,56
14,690,1941,57
14,1122,765,58
14,1183,1070,59
15,292,912,60
15,350,767,61
15,1215,1214,62
15,1780,1604,63
15,1985,645,64
16,325,863,65
16,755,410,66
16,1159,1771,67
16,1252,1045,68
16,1367,1673,69
16,1424,703,70
16,1735,220,71
17,21,1866,72
17,461,660,73
17,1884,1765,74
18,324,732,75
18,741,1486,76
18,970,1866,77
19,992,279,78
19,1023,1659,79
19,1216,721,80
19,1377,355,81
19,1406,1051,82
19,1480,27,83
19,1947,686,84
19,1961,1621,85
20,151,732,86
20,1850,365,87
21,0,1071,88
21,201,529,89
21,401,905,90
21,513,234,91
21,1687,728,92
21,1970,1942,93
22,207,298,94
22,351,669,95
22,960,929,96
22,1188,620,97
23,535,1338,98
23,543,429,99
23,1311,412,100
23,1317,1913,101
23,1393,1476,102
24,34,1084,103
24,582,706,104
24,1380,431,105
24,1720,1528,106
25,9,669,107
25,239,1578,108
25,254,628,109
25,1165,1702,110
25,1218,1460,111
25,1610,1434,112
26,207,1460,113
26,500,1409,114
26,1364,971,115
26,1373,442,116
26,1375,182,117
26,1959,630,118
27,73,1731,119
27,331,1064,120
27,351,1343,121
27,476,43,122
27,587,227,123
27,1181,1837,124
27,1398,1130,125
27,1563,1700,126
27,1622,1979,127
28,536,441,128
28,541,1098,129
28,969,1609,130
28,1508,690,131
29,292,1299,132
29,308,1836,133
29,690,1680,134
29,1495,876,135
29,1942,312,136
30,733,1617,137
30,823,1339,138
30,1010,444,139
31,92,1888,140
31,433,1919,141
32,228,388,142
32,441,891,143
32,863,57,144
32,1273,1824,145
32,1801,997,146
32,1948,1974,147
33,63,605,148
33,414,1070,149
33,731,1614,150
33,801,967,151
33,1027,1778,152
33,1389,1730,153
33,1412,156,154
34,681,1714,155
34,754,678,156
34,963,447,157
34,1202,138,158
35,900,18,159
35,982,713,160
35,1361,1912,161
35,1712,1676,162
35,1731,531,163
36,1262,408,164
36,1385,8,165
36,1950,1564,166
37,1452,664,167
38,246,1348,168
38,903,642,169
38,1766,783,170
39,641,1046,171
40,843,248,172
40,1102,667,173
40,1328,1687,174
40,1754,1803,175
40,1760,920,176
40,1946,1479,177
41,128,1161,178
41,691,1674,179
41,1272,312,180
41,1546,1925,181
41,1770,1598,182
42,225,1692,183
42,1025,1033,184
42,1566,1376,185
42,1702,1387,186
42,1941,47,187
42,1978,665,188
43,103,1611,189
43,822,1177,190
43,1021,1712,191
43,1321,1980,192
43,1366,563,193
43,1643,776,194
44,81,506,195
44,287,1581,196
44,360,1726,197
44,899,1657,198
44,1122,803,199
44,1580,1683,200
45,1785,1642,201
46,600,853,202
46,1182,1553,203
47,287,244,204
47,618,561,205
47,1142,968,206
47,1201,1173,207
47,1307,1186,208
47,1538,1993,209
48,634,25,210
48,897,1016,211
48,898,984,212
48,1002,652,213
48,1111,547,214
48,1202,1630,215
48,1268,188,216
49,331,176,217
49,1999,931,218
50,94,501,219
50,813,1579,220
50,1788,285,221
51,1520,1503,222
51,1784,902,223
52,756,416,224
52,909,1776,225
52,1902,638,226
53,183,724,227
53,583,671,228
53,1247,1902,229
53,1506,381,230
53,1561,1253,231
53,1578,813,232
53,1863,1246,233
53,1912,1260,234
53,1974,1236,235
54,149,1308,236
54,382,407,237
54,1149,407,238
54,1660,60,239
56,236,1796,240
56,698,1486,241
56,987,238,242
56,1265,1449,243
56,1560,106,244
57,580,936,245
57,982,884,246
57,1209,92,247
57,1823,1631,248
57,1915,1036,249
58,71,1358,250
58,244,1566,251
58,335,1048,252
58,975,1355,253
58,1524,1668,254
58,1604,52,255
59,94,664,256
59,1267,459,257
59,1334,1318,258
59,1704,359,259
60,203,1511,260
60,670,283,261
60,1199,480,262
60,1298,559,263
60,1329,1902,264
60,1567,652,265
60,1705,1964,266
60,1891,356,267
61,66,692,268
61,76,1018,269
61,133,973,270
61,191,447,271
61,234,368,272
61,767,284,273
61,1018,417,274
61,1136,235,275
62,171,660,276
62,495,762,277
62,683,1920,278
62,1274,79,279
62,1314,905,280
62,1767,1470,281
64,267,1785,282
64,881,1802,283
64,1172,1941,284
65,261,1019,285
65,969,1910,286
65,1648,646,287
66,31,53,288
66,562,460,289
66,734,1667,290
66,836,1565,291
66,1353,1745,292
66,1396,1386,293
67,367,1902,294
67,702,172,295
67,1567,23,296
67,1624,1351,297
68,571,893,298
68,603,41,299
68,871,1087,300
69,553,569,301
69,561,1774,302
69,745,320,303
69,1321,1332,304
69,1710,1627,305
69,1948,1239,306
70,1318,579,307
71,258,137,308
71,1091,358,309
71,1363,649,310
71,1481,157,311
72,1220,228,312
72,1915,948,313
72,1943,1299,314
73,67,362,315
73,190,1573,316
73,395,51,317
73,481,1430,318
73,963,532,319
73,1178,545,320
73,1423,1341,321
74,424,449,322
74,525,23,323
74,658,1411,324
74,781,746,325
74,927,385,326
74,1712,813,327
75,385,290,328
75,694,114,329
75,1352,1889,330
76,352,564,331
76,543,1489,332
76,943,1347,333
76,1592,413,334
77,1355,689,335
77,1361,799,336
78,222,1221,337
78,293,1846,338
78,300,1247,339
78,377,1401,340
78,560,393,341
78,587,1878,342
78,756,59,343
78,887,205,344
78,1066,223,345
78,1118,410,346
78,1619,1317,347
79,1193,168,348
79,1260,561,349
79,1672,469,350
80,263,1177,351
80,931,1974,352
80,993,1447,353
80,1258,0,354
80,1280,962,355
80,1309,303,356
80,1509,186,357
80,1824,1172,358
80,1981,786,359
81,248,1777,360
81,594,1231,361
81,756,568,362
81,1268,167,363
81,1328,663,364
81,1397,1813,365
81,1889,123,366
82,237,495,367
82,338,1828,368
82,440,1711,369
82,1562,1548,370
83,1,106,371
83,445,579,372
83,454,1949,373
83,638,1881,374
83,781,1716,375
83,877,571,376
83,1503,144,377
83,1683,799,378
84,653,1105,379
84,711,1091,380
84,1186,1065,381
85,2,1664,382
85,213,72,383
85,385,1939,384
85,631,746,385
85,646,1911,386
85,1038,215,387
85,1131,1462,388
86,137,772,389
86,321,579,390
86,448,1553,391
86,589,1956,392
86,643,777,393
86,893,38,394
86,1488,1781,395
86,1525,1919,396
86,1736,987,397
86,1810,287,398
86,1933,395,399
87,402,220,400
87,703,1037,401
87,830,242,402
87,867,160,403
87,941,840,404
87,960,1657,405
87,1271,1318,406
88,1489,1604,407
89,261,392,408
89,841,746,409
89,1301,792,410
89,1810,1477,411
89,1886,474,412
89,1997,60,413
90,82,963,414
90,123,261,415
90,620,24,416
90,851,1049,417
90,875,1004,418
90,1227,100,419
90,1344,129,420
91,564,1246,421
91,1659,1455,422
92,60,1744,423
92,79,280,424
92,820,104,425
92,1051,220,426
92,1500,367,427
92,1677,35,428
93,19,1744,429
93,330,1513,430
93,497,1436,431
93,631,916,432
93,1238,816,433
93,1435,1737,434
93,1642,30,435
93,1942,1313,436
93,1985,1653,437
93,1995,111,438
94,966,745,439
94,1063,1420,440
94,1953,821,441
95,1497,147,442
95,1577,1797,443
96,37,734,444
96,805,611,445
96,1638,1091,446
96,1763,224,447
96,1979,620,448
97,488,859,449
97,608,1174,450
97,1690,21,451
97,1713,1300,452
97,1773,1342,453
97,1963,155,454
98,644,190,455
98,790,897,456
98,1094,57,457
98,1242,1998,458
98,1355,221,459
98,1412,237,460
98,1557,468,461
99,94,203,462
99,103,576,463
99,951,576,464
99,1581,772,465
99,1641,1318,466
99,1918,1831,467
100,388,596,468
100,749,635,469
100,1122,817,470
100,1964,1984,471
101,821,1265,472
101,1643,1011,473
102,514,282,474
102,532,776,475
102,1141,510,476
102,1323,509,477
102,1755,22,478
102,1821,1227,479
103,594,1936,480
103,1494,754,481
103,1880,738,482
103,1897,1937,483
104,865,1014,484
104,1584,1909,485
105,4,965,486
105,563,169,487
105,623,225,488
105,859,630,489
105,1195,983,490
105,1641,1908,491
106,280,1047,492
106,811,1281,493
106,1674,880,494
107,240,1055,495
107,318,322,496
107,1225,9,497
107,1616,1292,498
107,1890,1772,499
108,386,304,500
108,484,925,501
108,717,952,502
108,832,425,503
108,942,1267,504
108,952,1340,505
108,1000,626,506
108,1700,139,507
108,1880,1485,508
108,1960,1167,509
109,209,1366,510
109,753,440,511
109,1546,1730,512
109,1774,1299,513
110,189,1832,514
110,624,1073,515
110,709,1844,516
110,1076,1636,517
110,1320,745,518
110,1436,217,519
111,84,1735,520
111,173,112,521
111,384,1061,522
111,470,375,523
111,620,870,524
111,738,7,525
112,15,418,526
112,617,1250,527
112,1080,1702,528
113,53,1584,529
113,1023,1759,530
113,1523,144,531
113,1702,254,532
