dataset_name,data_source,distribution,graph_type,full_dataset_size,subset_size,build_time_s,index_size_mb,mean_latency_us,p95_latency_us,throughput_qps,avg_pgm_refine_window,correctness_pct
wiki_vote,SNAP,real_graph_directed,voting_network,4542805,1000000,0.087604,7.6571,0.2179,0.2720,4588390,129.93,100.00
wiki_vote,SNAP,real_graph_directed,voting_network,4542805,2500000,0.236825,19.1396,0.2932,0.4480,3411209,129.97,100.00
wiki_vote,SNAP,real_graph_directed,voting_network,4542805,4542805,0.434688,34.7787,0.3486,0.5330,2868216,129.97,100.00
roadnet_ca,SNAP,real_graph_undirected,road_network,17523394,1000000,0.050316,7.6334,0.1307,0.1500,7653826,129.42,100.00
roadnet_ca,SNAP,real_graph_undirected,road_network,17523394,2500000,0.131129,19.0833,0.1491,0.1730,6708302,129.61,100.00
roadnet_ca,SNAP,real_graph_undirected,road_network,17523394,17523394,0.978319,133.7497,0.1663,0.2610,6014114,129.75,100.00
web_google,SNAP,real_graph_directed,web_graph,60687836,1000000,0.124194,7.6381,0.2026,0.2580,4936749,130.00,100.00
web_google,SNAP,real_graph_directed,web_graph,60687836,2500000,0.330557,19.0931,0.2824,0.4330,3540800,130.00,100.00
web_google,SNAP,real_graph_directed,web_graph,60687836,60687836,11.616227,463.5785,1.1677,1.6910,856384,130.00,100.00
uniform_sparse,Synthetic,"uniform([1,10000000))",N/A,60000000,1000000,0.130219,7.6332,0.1963,0.2510,5094368,130.00,100.00
uniform_sparse,Synthetic,"uniform([1,10000000))",N/A,60000000,5000000,0.697376,38.1712,0.3309,0.5120,3022504,130.00,100.00
uniform_sparse,Synthetic,"uniform([1,10000000))",N/A,60000000,10000000,1.426641,76.3232,0.3701,0.5680,2701749,130.00,100.00
uniform_dense,Synthetic,"uniform([1,500000))",N/A,60000000,1000000,0.128328,7.6333,0.1951,0.2460,5125263,130.00,100.00
uniform_dense,Synthetic,"uniform([1,500000))",N/A,60000000,5000000,0.691819,38.1715,0.3321,0.5150,3011144,130.00,100.00
uniform_dense,Synthetic,"uniform([1,500000))",N/A,60000000,10000000,1.424887,76.3235,0.3696,0.5660,2705743,130.00,100.00
uniform_matched,Synthetic,"uniform([1,1000000))",N/A,60000000,1000000,0.129061,7.6332,0.1945,0.2470,5141838,130.00,100.00
uniform_matched,Synthetic,"uniform([1,1000000))",N/A,60000000,5000000,0.694939,38.1714,0.3373,0.5200,2964555,130.00,100.00
uniform_matched,Synthetic,"uniform([1,1000000))",N/A,60000000,10000000,1.421201,76.3232,0.3705,0.5700,2699100,130.00,100.00
normal,Synthetic,normal(mu=500000 sigma=166667),N/A,60000000,1000000,0.123734,7.6451,0.2225,0.2840,4494609,130.00,100.00
normal,Synthetic,normal(mu=500000 sigma=166667),N/A,60000000,5000000,0.649821,38.1926,0.3478,0.5550,2875407,130.00,100.00
normal,Synthetic,normal(mu=500000 sigma=166667),N/A,60000000,10000000,1.320529,76.3631,0.3917,0.5980,2552916,130.00,100.00
lognormal,Synthetic,lognormal(mu=0.0 sigma=1.0 scale=1M/P99),N/A,60000000,1000000,0.106684,7.6433,0.2205,0.2780,4535677,129.99,100.00
lognormal,Synthetic,lognormal(mu=0.0 sigma=1.0 scale=1M/P99),N/A,60000000,5000000,0.567832,38.2010,0.3588,0.5490,2787419,130.00,100.00
lognormal,Synthetic,lognormal(mu=0.0 sigma=1.0 scale=1M/P99),N/A,60000000,10000000,1.172200,76.3860,0.3852,0.5880,2596388,130.00,100.00
